ZipCode,TotalPopulation,NoInsuranceRate,AsthmaRate,DiabetesRate
2050,"25,956",3.1,11.8,9.7
2052,"12,799",2.4,10.8,7.7
2053,"13,115",2.9,11.1,8.0
2054,"8,460",3.2,11.2,8.6
2056,"11,662",3.7,10.5,8.1
2061,"11,351",2.8,11.3,8.3
2062,"31,611",4.5,11.3,9.4
2066,"18,561",2.6,11.5,9.1
2067,"18,553",2.5,10.0,8.5
2071,968,2.8,11.2,6.4
2072,"29,281",5.0,12.1,11.1
2081,"20,584",3.1,10.8,8.1
2090,"16,266",2.8,10.6,8.5
2093,"12,178",3.3,11.2,8.9
2108,"4,228",3.0,10.6,6.5
2109,"3,921",2.9,10.5,5.9
2110,"2,921",2.5,10.0,8.1
2111,"9,716",5.7,10.3,10.6
2113,"7,126",2.7,11.0,3.3
2114,"14,469",3.0,10.4,4.8
2115,"31,604",5.5,12.1,5.5
2116,"23,408",3.9,10.7,7.7
2118,"29,073",6.4,11.3,9.9
2119,"29,175",10.9,13.5,15.0
2120,"17,578",7.6,12.1,7.5
2121,"28,766",12.1,14.2,15.9
2122,"24,385",7.8,12.1,11.2
2124,"50,972",7.9,13.1,12.8
2125,"34,926",7.8,12.4,10.3
2126,"22,734",7.7,14.0,15.3
2127,"37,939",4.1,11.0,5.4
2128,"43,066",11.5,10.9,8.5
2129,"19,120",3.7,10.8,6.4
2130,"38,284",4.8,10.8,7.3
2131,"30,544",6.1,11.5,9.4
2132,"27,111",3.5,10.8,8.6
2134,"21,707",4.4,10.5,4.3
2135,"47,232",4.5,10.8,5.8
2136,"35,102",6.9,12.5,11.9
2138,"37,982",3.6,11.3,5.6
2139,"39,525",4.1,11.1,5.8
2140,"21,447",3.4,11.1,7.2
2141,"15,130",4.0,10.8,5.8
2142,"4,499",4.0,10.2,4.8
2143,"26,022",3.8,11.2,5.3
2144,"25,497",3.6,11.5,5.1
2145,"27,520",5.9,11.8,6.9
2148,"66,274",5.8,11.6,9.9
2149,"49,075",10.2,13.0,11.1
2150,"40,721",17.0,11.2,11.5
2151,"62,252",10.2,11.4,10.3
2152,"19,316",4.5,11.3,8.8
2155,"61,483",4.2,11.8,7.4
2163,"1,391",4.7,10.3,2.3
2169,"62,140",5.0,10.8,10.0
2170,"19,950",4.8,10.0,10.3
2171,"19,539",4.8,10.0,10.1
2176,"29,817",3.3,11.5,7.8
2180,"23,244",3.3,11.5,8.5
2184,"39,143",4.0,10.8,9.5
2186,"28,637",3.1,11.1,8.7
2188,"15,133",4.5,11.5,9.4
2189,"15,123",4.3,11.8,9.3
2190,"18,910",3.9,11.4,9.1
2191,"8,271",3.9,11.2,9.4
2199,"1,574",2.8,10.1,6.9
2210,"5,808",2.2,10.2,4.0
2215,"26,926",4.9,11.7,3.3
2301,"69,418",8.8,14.7,13.8
2302,"36,202",7.7,14.0,12.7
2322,"4,777",5.3,12.2,10.5
2324,"25,676",4.6,11.9,9.3
2325,"3,025",4.0,13.4,0.9
2330,"11,645",4.3,12.3,10.7
2332,"16,090",2.6,11.3,9.0
2333,"14,382",4.0,12.2,9.5
2338,"7,749",3.5,12.0,9.4
2339,"14,833",3.2,11.7,8.9
2341,"10,367",3.8,12.0,9.2
2343,"11,364",4.7,11.8,9.9
2346,"24,245",4.5,12.3,10.3
2347,"11,523",3.7,12.2,9.5
2350,272,4.0,12.3,6.8
2351,"17,085",4.1,12.1,9.2
2356,"12,767",3.4,12.1,9.6
2357,"1,906",3.4,13.2,0.8
2359,"18,361",3.3,11.9,8.7
2360,"61,134",3.9,11.9,10.0
2364,"13,708",3.1,11.7,8.6
2366,83,6.2,8.8,7.6
2367,"2,930",4.2,12.3,10.8
2368,"35,025",5.8,12.1,12.2
2370,"17,803",4.4,12.4,9.9
2375,"10,373",3.4,12.2,9.2
2379,"7,697",3.7,11.8,9.3
2382,"15,121",4.3,12.4,9.2
2420,"15,502",2.1,9.8,8.8
2421,"18,950",2.2,9.9,9.1
2445,"22,499",2.8,10.2,6.9
2446,"31,957",3.2,10.3,6.6
2451,"17,953",4.5,11.2,8.7
2452,"15,340",5.1,11.9,7.2
2453,"31,854",5.5,11.2,7.0
2457,"1,560",3.6,10.2,0.8
2458,"12,817",3.1,11.0,7.8
2459,"19,017",2.2,10.6,8.2
2460,"9,204",2.7,10.9,8.1
2461,"7,430",2.4,10.5,8.5
2462,"1,569",2.9,10.7,10.7
2464,"3,193",2.7,10.5,8.6
2465,"12,415",2.7,10.9,8.1
2466,"8,434",3.1,11.2,7.5
2467,"22,626",2.8,10.9,6.4
2468,"5,713",1.9,10.5,7.8
2472,"35,392",3.6,11.3,7.3
2474,"28,551",2.7,11.0,7.4
2476,"17,757",2.6,11.0,8.3
2478,"27,286",2.4,10.6,7.7
2481,"17,280",2.4,10.7,6.9
2482,"10,710",2.5,10.4,8.7
2492,"21,359",2.3,10.3,7.8
2493,"11,851",2.3,10.7,8.4
2494,"10,732",2.7,10.3,8.2
2532,"13,411",3.9,11.9,9.7
2534,899,3.3,11.3,10.8
2535,"1,651",2.8,11.4,10.2
2536,"19,993",3.7,11.9,10.4
2537,"6,178",3.1,11.7,9.4
2538,"4,428",4.7,13.0,10.0
2539,"5,168",4.6,12.1,10.0
2540,"8,450",3.5,11.6,12.0
2542,793,6.0,10.9,4.4
2543,756,2.8,10.8,9.2
2553,164,3.5,12.3,11.7
2554,"13,517",4.9,11.1,8.0
2556,"3,338",2.3,11.0,9.4
2557,"2,372",4.2,12.1,11.9
2558,"2,178",4.4,12.8,12.1
2559,"3,388",3.2,11.4,11.0
2561,712,3.3,11.5,8.2
2562,"3,204",3.1,11.4,9.3
2563,"10,070",3.2,11.5,9.5
2564,703,3.8,11.3,10.2
2568,"8,172",4.5,12.3,10.3
2571,"10,858",4.5,12.6,11.5
2575,"3,167",2.9,11.5,9.1
2576,"3,957",5.2,13.0,13.3
2601,"16,487",7.0,13.3,11.5
2630,"1,956",2.9,11.2,9.9
2631,"10,178",3.2,11.4,10.9
2632,"11,475",3.8,12.0,10.0
2633,"4,664",3.0,11.0,11.4
2635,"3,632",4.0,11.8,11.0
2637,267,2.6,10.9,9.1
2638,"2,968",2.9,11.0,11.2
2639,"3,238",4.0,12.1,11.0
2641,332,2.8,10.8,12.0
2642,"5,752",3.4,11.6,11.7
2644,"3,954",3.8,12.2,8.9
2645,"10,436",3.4,11.6,10.2
2646,"1,926",2.9,11.2,11.2
2647,136,6.2,11.5,13.6
2648,"7,325",3.6,12.1,9.7
2649,"15,060",3.5,11.9,10.6
2650,829,2.9,10.7,11.6
2652,"1,402",3.1,11.3,11.2
2653,"6,307",3.0,11.1,11.4
2655,"3,591",3.0,11.4,10.0
2657,"3,664",3.6,10.9,12.1
2659,"1,100",2.6,10.9,11.1
2660,"6,662",4.0,11.7,11.4
2663,257,3.1,11.0,9.7
2664,"9,935",4.4,12.0,11.3
2666,"1,052",3.2,11.2,11.3
2667,"3,309",3.0,11.3,10.9
2668,"3,222",3.0,11.5,8.9
2670,"1,463",2.8,11.3,11.5
2671,"1,216",3.6,11.5,11.0
2672,297,5.4,12.7,11.8
2673,"8,892",4.7,12.2,10.6
2675,"6,712",3.0,11.2,10.5
2702,"4,267",3.3,12.1,8.7
2703,"46,389",5.5,12.5,10.4
2715,"4,036",3.6,12.2,8.3
2717,"4,951",3.7,12.2,9.4
2718,"6,882",5.0,13.4,10.1
2719,"15,924",4.3,12.5,10.9
2720,"31,209",7.5,13.4,11.6
2721,"28,075",9.3,13.9,12.7
2723,"16,084",10.2,14.1,13.3
2724,"18,050",9.5,14.0,13.2
2725,"2,632",3.9,12.4,9.9
2726,"15,671",3.8,12.2,9.7
2738,"5,347",3.6,11.9,10.9
2739,"6,508",2.8,11.4,9.9
2740,"45,166",10.6,14.1,14.0
2743,"10,434",4.4,12.6,10.2
2744,"13,055",12.9,13.6,12.6
2745,"25,336",7.5,13.3,11.6
2746,"17,355",16.4,14.0,14.0
2747,"22,326",4.9,12.7,8.9
2748,"11,888",4.1,12.2,11.2
2760,"28,716",3.6,12.0,8.6
